ID,LOWER,UPPER,PRED
te0,303833.0,498792.06,401312.53
te1,293116.62,488075.7,390596.16
te2,112870.445,307829.5,210349.97
te3,37072.85,232031.9,134552.38
te4,244168.75,439127.8,341648.28
te5,528365.7,723324.7,625845.2
te6,296109.9,491068.97,393589.44
te7,632326.94,827285.94,729806.44
te8,343413.2,538372.25,440892.72
te9,357727.62,552686.7,455207.16
te10,695812.7,890771.7,793292.2
te11,131144.62,326103.66,228624.14
te12,190665.94,385625.0,288145.47
te13,173017.06,367976.12,270496.6
te14,253549.88,448508.94,351029.4
te15,173273.88,368232.94,270753.4
te16,194089.22,389048.28,291568.75
te17,82865.82,277824.88,180345.34
te18,68585.96,263545.0,166065.48
te19,379603.56,574562.6,477083.1
te20,166538.16,361497.22,264017.7
te21,508701.53,703660.56,606181.06
te22,280019.44,474978.5,377498.97
te23,475824.1,670783.1,573303.6
te24,292034.88,486993.94,389514.4
te25,228617.38,423576.44,326096.9
te26,185925.53,380884.6,283405.06
te27,201546.06,396505.12,299025.6
te28,103298.836,298257.88,200778.36
te29,352384.8,547343.9,449864.34
te30,150253.9,345212.97,247733.44
te31,243292.44,438251.5,340771.97
te32,266118.94,461078.0,363598.47
te33,194165.97,389125.03,291645.5
te34,462111.03,657070.06,559590.56
te35,382191.22,577150.25,479670.75
te36,157043.19,352002.22,254522.7
te37,236195.88,431154.94,333675.4
te38,147549.9,342508.97,245029.44
te39,489508.6,684467.6,586988.1
te40,185516.1,380475.16,282995.62
te41,371583.06,566542.1,469062.6
te42,71607.164,266566.22,169086.69
te43,147945.84,342904.9,245425.38
te44,315239.94,510199.0,412719.47
te45,287842.9,482801.97,385322.44
te46,454661.4,649620.44,552140.94
te47,85623.945,280583.0,183103.47
te48,354232.56,549191.6,451712.1
te49,82777.27,277736.3,180256.8
te50,241435.34,436394.4,338914.88
te51,39285.242,234244.28,136764.77
te52,253753.47,448712.53,351233.0
te53,868983.9,1063942.9,966463.4
te54,83602.76,278561.8,181082.28
te55,584406.4,779365.4,681885.9
te56,229162.69,424121.75,326642.22
te57,419486.8,614445.9,516966.34
te58,329659.7,524618.75,427139.22
te59,159801.62,354760.7,257281.16
te60,339409.28,534368.3,436888.8
te61,429685.1,624644.1,527164.6
te62,217663.1,412622.16,315142.62
te63,186829.16,381788.22,284308.7
te64,180724.78,375683.84,278204.3
te65,150048.9,345007.97,247528.44
te66,172816.19,367775.25,270295.72
te67,116504.57,311463.62,213984.1
te68,438725.16,633684.2,536204.7
te69,249832.66,444791.72,347312.2
te70,320695.16,515654.22,418174.7
te71,369709.78,564668.8,467189.3
te72,107421.96,302381.0,204901.48
te73,31038.242,225997.28,128517.766
te74,21606.148,216565.19,119085.67
te75,170488.0,365447.06,267967.53
te76,204773.56,399732.62,302253.1
te77,109822.85,304781.9,207302.38
te78,95911.73,290870.78,193391.25
